,1,2,3,4,5,Min,Max,Avg
Cloud Energy,96404826.2917356,96404951.57072097,96402670.45091799,96405347.97812946,96402437.37729938,96402437.37729938,96405347.97812946,96404002.71774746,
Proxy Energy,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,
Router Energy,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,
Mobile Energy,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,
Execution time,16139.0,18460.0,20013.0,18886.0,18476.0,16139.0,20013.0,18303.714285714286,
Delay_1,6652.01175426764,6652.033641108726,6652.011750695541,6652.011753793095,6652.033619218822,6652.011750695541,6652.033641108726,6652.021130126871,
Delay_2,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,
MOTION_VIDEO_STREAM,0.16130963847788818,0.12261906195622499,0.1578311011932101,0.15595238095556854,0.12261906195621815,0.12261906195621815,0.16130963847788818,0.14346570642474518,
DETECTED_OBJECT,0.19464008897148932,0.2091012705368698,0.1668889801311611,0.16535752581765653,0.1383267478176567,0.1383267478176567,0.2091012705368698,0.1745346616613371,
OBJECT_LOCATION,0.1571426868379474,0.10357140728071915,0.14899562086132617,0.151785714282596,0.10357149243022183,0.10357140728071915,0.1571426868379474,0.132254430830211,
CAMERA,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,
Cost of execution in cloud,23370892.97021771,23371070.58093211,23367836.588298436,23371632.576244418,23367506.154815458,23367506.154815458,23371632.576244418,23369725.371652573,
Total network usage,1050282.5266666666,1050282.5266666666,1050282.5266666666,1050282.5266666666,1050282.5266666666,1050282.5266666666,1050282.5266666666,1050282.5266666666,
