,1,2,3,4,5,Min,Max,Avg
Cloud Energy,82982155.67595029,82981576.14365757,82980488.16679142,82980872.47889937,82980480.84902622,82980480.84902622,82982155.67595029,82981172.83418591,
Proxy Energy,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,
Router Energy,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,
Mobile Energy,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,
Execution time,2437.0,2342.0,2434.0,2568.0,2557.0,2342.0,2568.0,2464.0,
Delay_1,105.25356256915131,105.25354703221123,105.25351882976227,105.25354492462526,105.25352159128666,105.25351882976227,105.25356256915131,105.2535394779929,
Delay_2,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,
MOTION_VIDEO_STREAM,0.15964285722896848,0.15964287843460778,0.15964285714580911,0.14133928571409343,0.15964285605456613,0.14133928571409343,0.15964287843460778,0.154413271246678,
DETECTED_OBJECT,0.11030958133178982,0.16101428989204877,0.11096175718170745,0.1403168085565625,0.13629718681966746,0.11030958133178982,0.16101428989204877,0.1328890707150878,
OBJECT_LOCATION,0.14152445274944464,0.13559661113009058,0.1411755952382269,0.12800595238031748,0.13629278228684247,0.12800595238031748,0.14152445274944464,0.1360179712735263,
CAMERA,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,
Cost of execution in cloud,4341283.996230674,4340462.380828519,4338919.932613208,4339464.780158957,4338909.558060155,4338909.558060155,4341283.996230674,4339890.600311763,
Total network usage,166343.66666666666,166343.66666666666,166343.66666666666,166343.66666666666,166343.66666666666,166343.66666666666,166343.66666666666,166343.66666666666,
