,1,2,3,4,5,6,7,8,9,10,Min,Max,Avg
Cloud Energy,2669215.269642859,2668592.7214285717,2668947.092857145,2673257.1071428573,2668687.5214285767,2670286.70714286,2672835.585714287,2669638.483928573,2668653.241071432,2668838.608928575,2668592.7214285717,2673257.1071428573,2670066.8473214307,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999992,
Router Energy,214675.6094300017,214675.6094300017,214675.6094300017,214675.6094300017,214675.6094300017,214675.6094300017,214675.6094300017,214675.6094300017,214675.6094300017,214675.6094300017,214675.6094300017,214675.6094300017,214675.6094300016,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.7709999999,
Execution time,437.0,447.0,462.0,467.0,478.0,440.0,466.0,467.0,460.0,478.0,437.0,478.0,459.75,
Delay_1,132.5842729970309,132.5842729970309,132.5842729970309,132.5842729970309,132.5842729970309,132.5842729970309,132.5842729970309,132.5842729970309,132.5842729970309,132.5842729970309,132.5842729970309,132.5842729970309,132.5842729970309,
Delay_2,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999572,
MOTION_VIDEO_STREAM,248.4805402755735,248.4805402755735,248.4805402755735,248.4805402755735,248.4805402755735,248.4805402755735,248.4805402755735,248.4805402755735,248.4805402755735,248.4805402755735,248.4805402755735,248.4805402755735,248.4805402755736,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.11116071428568833,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.11116071428568833,0.1111607142856883,
OBJECT_LOCATION,6.325774955749894,6.325774955749894,6.325774955749894,6.325774955749894,6.325774955749894,6.325774955749894,6.325774955749894,6.325774955749894,6.325774955749894,6.325774955749894,6.325774955749894,6.325774955749894,6.3257749557498935,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,7393.799999999212,6511.199999999319,7013.599999999316,13123.999999999185,6645.599999999304,8912.799999999232,12526.399999999325,7993.799999999199,6596.999999999398,6859.799999999224,6511.199999999319,13123.999999999185,8601.09999999927,
Total network usage,10871.6,10055.6,9545.6,10769.6,9647.6,10361.6,9443.6,10565.6,8933.6,10667.6,8933.6,10871.6,10055.600000000002,
