,1,2,3,4,5,Min,Max,Avg
Cloud Energy,2668747.072300399,2668747.072300399,2668747.072300399,2668747.072300399,2668747.072300399,2668747.072300399,2668747.072300399,2668747.072300399,
Proxy Energy,214678.0000000057,214678.0000000057,214678.0000000057,214678.0000000057,214678.0000000057,214678.0000000057,214678.0000000057,214678.00000000565,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
Execution time,56196.0,58172.0,57554.0,57836.0,57275.0,56196.0,58172.0,57343.0,
Delay_1,629.0889138389967,629.0889138389967,629.0889138389967,629.0889138389967,629.0889138389967,629.0889138389967,629.0889138389967,629.0889138389967,
Delay_2,5.119999999999948,5.119999999999948,5.119999999999948,5.119999999999948,5.119999999999948,5.119999999999948,5.119999999999948,5.119999999999948,
MOTION_VIDEO_STREAM,1219.248234110989,1219.248234110989,1219.248234110989,1219.248234110989,1219.248234110989,1219.248234110989,1219.248234110989,1219.2482341109887,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,5.896848919944594,5.896848919944594,5.896848919944594,5.896848919944594,5.896848919944594,5.896848919944594,5.896848919944594,5.896848919944595,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,6730.0265524619235,6730.0265524619235,6730.0265524619235,6730.0265524619235,6730.0265524619235,6730.0265524619235,6730.0265524619235,6730.0265524619235,
Total network usage,18149.1,18149.1,18149.1,18149.1,18149.1,18149.1,18149.1,18149.100000000002,
