,1,2,3,4,5,6,7,8,9,10,Min,Max,Avg
Cloud Energy,2668592.2744695917,2669332.2118208106,2669084.0494695907,2670108.9511065227,2668125.4928571424,2668486.894112447,2669084.0494695925,2669251.8071428584,2672904.7107142867,2669181.2714285753,2668125.4928571424,2672904.7107142867,2669598.4930135706,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999992,
Router Energy,214675.6094300005,214675.6094300005,214675.6094300005,214675.6094300005,214675.6094300005,214675.6094300005,214675.6094300005,214675.6094300005,214675.6094300005,214675.6094300005,214675.6094300005,214675.6094300005,214675.6094300005,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.7709999999,
Execution time,417.0,448.0,431.0,442.0,421.0,411.0,463.0,417.0,477.0,473.0,411.0,477.0,440.6666666666667,
Delay_1,127.43931797794413,127.43931797794413,127.43931797794413,127.43931797794413,127.43931797794413,127.43931797794413,127.43931797794413,127.43931797794413,127.43931797794413,127.43931797794413,127.43931797794413,127.43931797794413,127.4393179779441,
Delay_2,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999577,3.1099999999999572,
MOTION_VIDEO_STREAM,224.90331793813672,224.90331793813672,224.90331793813672,224.90331793813672,224.90331793813672,224.90331793813672,224.90331793813672,224.90331793813672,224.90331793813672,224.90331793813672,224.90331793813672,224.90331793813672,224.90331793813672,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,3.4622503099303596,3.4622503099303596,3.4622503099303596,3.4622503099303596,3.4622503099303596,3.4622503099303596,3.4622503099303596,3.4622503099303596,3.4622503099303596,3.4622503099303596,3.4622503099303596,3.4622503099303596,3.462250309930361,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,6510.566336632969,7559.591442154453,7207.766336632819,8660.79144215447,5848.799999999503,6361.166336632991,7207.766336632806,7445.599999999291,12624.399999999221,7345.599999999329,5848.799999999503,12624.399999999221,7937.104019236383,
Total network usage,10157.6,11381.6,11687.6,11177.6,8015.6,9545.6,11585.6,9545.6,10973.6,9851.6,8015.6,11687.6,10302.100000000002,
