,1,2,3,4,5,6,7,8,9,10,Min,Max,Avg
Cloud Energy,808251665.8704723,808241998.640474,808244890.717605,808248487.8697726,808238967.7490567,808232852.3590406,808245689.6897628,808242272.4883162,808243547.5483292,808236592.5576233,808232852.3590406,808251665.8704723,808242623.6433305,
Proxy Energy,60258469.22415204,60258469.22415204,60258469.22415204,60258469.22415204,60258469.22415204,60258469.22415204,60258469.22415204,60258469.22415204,60258469.22415204,60258469.22415204,60258469.22415204,60258469.22415204,60258469.22415205,
Router Energy,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,
Mobile Energy,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124144,
Execution time,13662.0,14089.0,15480.0,15953.0,15694.0,15504.0,15672.0,15772.0,15991.0,15427.0,13662.0,15991.0,15241.416666666666,
Delay_1,108.2053120965932,108.20510245560996,108.20519873208639,108.20507369770175,108.20487155878132,108.20485071971585,108.20524332768456,108.20504493979304,108.2052304074635,108.20499951063447,108.20485071971585,108.2053120965932,108.20509085519775,
Delay_2,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000905,
MOTION_VIDEO_STREAM,3.10177016411908,3.10177016411908,3.10177016411908,3.10177016411908,3.10177016411908,3.10177016411908,3.10177016411908,3.10177016411908,3.10177016411908,3.10177016411908,3.10177016411908,3.10177016411908,3.1017701641190807,
DETECTED_OBJECT,0.037230993681021445,0.17103890043037534,0.15135735250763277,0.14359524288391567,0.12660793975354073,0.20127324805136027,0.13844631310234984,0.1645402037797698,0.07693390871078129,0.07312965754901479,0.037230993681021445,0.20127324805136027,0.12688816684851198,
OBJECT_LOCATION,0.1966190476358543,0.19661886269112472,0.19661883756274431,0.1966188626911579,0.16015403490776708,0.19657170174803248,0.1966190476358537,0.19661904763535498,0.19661903607681216,0.19661904754051787,0.16015403490776708,0.1966190476358543,0.1905375507224034,
CAMERA,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,
Cost of execution in cloud,12832741.485559732,12819036.045560345,12823136.205560349,12828235.965558674,12814739.085558813,12806069.165558793,12824268.925560117,12819424.285557246,12821231.965561043,12811371.725560594,12806069.165558793,12832741.485559732,12819922.125559518,
Total network usage,22576.166666666668,22493.166666666668,22539.5,22529.833333333332,22451.5,22420.166666666668,22539.833333333332,22508.166666666668,22535.166666666668,22455.166666666668,22420.166666666668,22576.166666666668,22503.75,
